jobid,title,employer,location,salary,description,tags,url,date,weeknum
121395,Solutions Developer,Fisher & Paykel Healthcare - New Zealand,"Auckland, New Zealand",,We have an exciting opportunity for a creative and skilled individual to take the next step their…,"[""html5"",""css3"",""javascript"",""asp.net-mvc"",""c#""]",/jobs/121395/solutions-developer-fisher-paykel-healthcare,2016-07-25,30
121593,Software Developer IV - Java,"Rackspace, the #1 managed cloud company","San Antonio, TX",,"If you are the type of person who likes to orchestrate APIs together to get work done, this is the team…","[""java"",""rest"",""api"",""distributed-computing"",""linux""]",/jobs/121593/software-developer-iv-java-rackspace-the-sharp1-managed,2016-07-25,30
121587,R&D Engineer,Synopsys,"Mountain View, CA",,"Responsible for designing, developing, troubleshooting, or debugging software programs. Develops…","[""c"",""c++"",""cad""]",/jobs/121587/r-d-engineer-synopsys,2016-07-25,30
109953,Big Data Dev Ops Engineer,Honeywell,"Morris Plains, NJ",,"Big Data DevOps Engineer
Honeywell is transforming from a traditional industrial company to a…","[""bigdata"",""hadoop"",""cloud"",""linux""]",/jobs/109953/big-data-dev-ops-engineer-honeywell,2016-07-25,30
121592,Windows Security Engineer,Autodesk,"San Francisco, CA",,Autodesk is looking fortalentedSecurity Engineers to join our CloudInfrastructureteam!  As a global…,"[""wsus"",""active-directory"",""ldap""]",/jobs/121592/windows-security-engineer-autodesk,2016-07-25,30
121591,Senior Site Reliability Engineer,Marin Software,"San Francisco, CA",Provides Equity,"
Evaluate and recommend systems software and hardware for the enterprise system including capacity…","[""vmware"",""docker"",""ansible"",""puppet"",""linux"",""sysadmin""]",/jobs/121591/senior-site-reliability-engineer-marin-software,2016-07-25,30
121590,IT Security Specialist,Synopsys,"Mountain View, CA",,Administers technical security controls to prevent hackers or unauthorized individuals from infiltrating…,[],/jobs/121590/it-security-specialist-synopsys,2016-07-25,30
121588,"R&D Engineer, Sr. Staff",Synopsys,"Mountain View, CA",,"The Sr. Staff R&D Engineer will be responsible for designing, developing, troubleshooting, or debugging…","[""c++""]",/jobs/121588/r-d-engineer-sr-staff-synopsys,2016-07-25,30
121586,Senior R&D Engineer,Synopsys,"Mountain View, CA",,"HAPS is Synopsys' industry leading FPGA-based prototyping system, providing state of the art hardware…","[""c"",""c++"",""asic"",""fpga""]",/jobs/121586/senior-r-d-engineer-synopsys,2016-07-25,30
121585,Lead Full Stack Developer,Agora Ventures,"Washington, DC","$100,000 - 160,000

                                / 
Provides Equity","There is this magical recent invention called the ""video game."" It's really fun. Kids spend hours…",[],/jobs/121585/lead-full-stack-developer-agora-ventures,2016-07-25,30
