jobid,title,employer,location,salary,description,tags,url,date,weeknum,equity,currency,salary_low,salary_high,country,state,city
122152,Front-end Developer,Augeo Marketing,"Saint Paul, MN","$50,000 - 65,000",An Augeo Front-End Developer will be responsible for crafting new instances of client websites and…,"[""html5"",""css"",""javascript"",""jquery""]",/jobs/122152/front-end-developer-augeo-marketing,2016-08-03,31,False,$,"50,000","65,000",US,MN,Saint Paul
122151,CMS Engineer - .NET team,DEG,"Overland Park, KS",,"CMS Engineer - .NET team
DEG is seeking a CMS Engineer with Sitecore experience to develop…","[""sitecore""]",/jobs/122151/cms-engineer-net-team-deg,2016-08-03,31,False,,0,0,US,KS,Overland Park
108038,"Senior Java Developer - (Agile, Java, Scala)",First Utility,"Warwick, UK","£50,000 - 65,000","This is a key role within the Digital Retail Development Team, building advanced software solutions for…","[""java-ee-7"",""scala"",""clojure"",""tdd"",""agile""]",/jobs/108038/senior-java-developer-agile-java-scala-first-utility,2016-08-04,31,False,£,"50,000","65,000",UK,,Warwick
Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
122265,Frontend Developer,SSH Communications Security,"Helsinki, Finland",,We are looking for a passionate front-end Javascript/React developer. You would be working on developing…,"[""javascript"",""reactjs"",""functional-programming"",""redux"",""angularjs""]",/jobs/122265/frontend-developer-ssh-communications-security,2016-08-04,31,False,,0,0,Finland,,Helsinki
119921,Solution Architect for future state middle office,Nordea Bank Denmark,"Copenhagen, Denmark",,Do you want to shape the future state middle office IT platforms in Capital Markets? And do want to have…,"[""architecture"",""java"",""maven"",""spring"",""database""]",/jobs/119921/solution-architect-for-future-state-middle-office-nordea-bank-denmark,2016-08-04,31,False,,0,0,Denmark,,Copenhagen
122270,Frontend Developer,Sclable Business Solutions GmbH,"Wien, Austria","€3,300 - 4,200","RESPONSIBILITIES

Take ownership in the development and implementation of digital projects and…","[""html5"",""css3"",""user-interface"",""javascript"",""user-experience""]",/jobs/122270/frontend-developer-sclable-business-solutions,2016-08-04,31,False,€,"3,300","4,200",Austria,,Wien
119920,Senior Java Developer: Brussels waits for you!,Novabase,"Brussels, Belgium",,The candidate will work in engaging multicultural projects that will affect the life of millions of…,"[""java"",""coldfusion"",""plsql"",""java-ee"",""javascript""]",/jobs/119920/senior-java-developer-brussels-waits-for-you-novabase,2016-08-04,31,False,,0,0,Belgium,,Brussels
Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
122237,C# Software Developer,Archon Systems,"Toronto, ON, Canada",,"Build new cloud technology AND work from home 2 days a week?
Yes and yes?  Read on!
Who are we
We’re…","[""c#"","".net"",""xamarin"",""azure"",""android""]",/jobs/122237/c-sharp-software-developer-archon-systems,2016-08-04,31,False,,0,0,Canada,ON,Toronto
122244,Associate Director - Data Center and Cloud IaaS,Portland State University,"Portland, OR","$90,000 - 100,000","Portland State University (PSU) seeks to enhance the intellectual, social, cultural, and economic…",[],/jobs/122244/associate-director-data-center-and-cloud-iaas-portland-state-university,2016-08-04,31,False,$,"90,000","100,000",US,OR,Portland
122243,PHP Software Engineer,Clockwork,"Minneapolis, MN",, Are you a PHP nerd with a passion for developing hard-core backend software? Do you want to join an…,"[""php"",""lamp"",""symfony2"",""drupal"",""laravel""]",/jobs/122243/php-software-engineer-clockwork,2016-08-04,31,False,,0,0,US,MN,Minneapolis
120658,Bouwen aan State of the Art applicaties met de nieuwste Java Technologie?,Sogeti,"Amsterdam, Netherlands",,Jij als Java Developer gaat in deze rol een grote bijdrage leveren aan de technische realisatie van…,"[""java-ee"",""hibernate"",""junit"",""open-source"",""jboss""]",/jobs/120658/bouwen-aan-state-of-the-art-applicaties-met-de-sogeti,2016-08-04,31,False,,0,0,Netherlands,,Amsterdam
120662,Jouw kennis van #Java verder ontwikkelen en deze inzetten voor gave bedrijven?,Sogeti,"Utrecht, Netherlands",,Als Trainee Java lever je bij onze klanten (de top van het Nederlandse bedrijfsleven) een belangrijke…,"[""software-engineering"",""java"",""agile"",""junit"",""jboss""]",/jobs/120662/jouw-kennis-van-sharpjava-verder-ontwikkelen-en-deze-sogeti,2016-08-04,31,False,,0,0,Netherlands,,Utrecht
120669,Techies gezocht die web- en applicatie security kunnen blootleggen!,Sogeti,"Utrecht, Netherlands",,Wij geloven dat security een enabler is voor mens en maatschappij. Door security te integreren in ALLE…,"[""security"",""hacking"",""penetration-testing"",""owasp""]",/jobs/120669/techies-gezocht-die-web-en-applicatie-security-sogeti,2016-08-04,31,False,,0,0,Netherlands,,Utrecht
121902,Heb jij de juiste Hacker-mindset? Check het hier!,Sogeti,"Vianen, Netherlands",,"""Beweeg mee van veilig voelen naar veilig zijn""
Wij geloven dat Security een enabler is voor mens en…","[""backtracking"",""burpsuite"",""zap"",""owasp"",""hacking""]",/jobs/121902/heb-jij-de-juiste-hacker-mindset-check-het-hier-sogeti,2016-08-04,31,False,,0,0,Netherlands,,Vianen
121903,Wil jij ook de hele testwereld automatiseren? Zoek dan niet verder...,Sogeti,"Vianen, Netherlands",,Jij bent hard op weg om de testwereld te automatiseren en zoekt een club die samen met jou dat doel wil…,"[""tmap"",""automated-tests"",""java"",""sql"",""tosca""]",/jobs/121903/wil-jij-ook-de-hele-testwereld-automatiseren-sogeti,2016-08-04,31,False,,0,0,Netherlands,,Vianen
121907,"Wil jij ongeveer alles wat je test, automatiseren? Kickstart je IT-Carriere hier",Sogeti,"Vianen, Netherlands",,"Durf jij mee te delen in het succes van de no. 1 dienstverlener in Nederland op het gebied van IT?
Jij…","[""tmap"",""tooling"",""tosca"",""qtp"",""alm""]",/jobs/121907/wil-jij-ongeveer-alles-wat-je-test-sogeti,2016-08-04,31,False,,0,0,Netherlands,,Vianen
122007,Wij maken Apps met Impact! En jij? Maak jij ook impact?,Sogeti,"Vianen, Netherlands",,"Apps om te betalen met je vingerafdruk, de rekening in de bar te delen of je huiskamer een sfeer…","[""ios"",""android"",""apps"",""html5"",""css3""]",/jobs/122007/wij-maken-apps-met-impact-en-jij-maak-jij-ook-sogeti,2016-08-04,31,False,,0,0,Netherlands,,Vianen
122010,Wil jij Mobile Apps realiseren die mensen echt raken? #iOS #Android #Web,Sogeti,"Vianen, Netherlands",Provides Equity,"Apps om te betalen met je vingerafdruk, de rekening in de bar te delen of je huiskamer een sfeer…","[""ios"",""android"",""webdevelopment"",""html5"",""mobile""]",/jobs/122010/wil-jij-mobile-apps-realiseren-die-mensen-echt-sogeti,2016-08-04,31,True,,0,0,Netherlands,,Vianen
122240,"Software Engineer, Big Data",Audible,"Jersey City, NJ",,"Excited by Big Data, Machine Learning and Predictive Software? Interested in creating new state-of-the…","[""oop"",""java"",""audio""]",/jobs/122240/software-engineer-big-data-audible,2016-08-04,31,False,,0,0,US,NJ,Jersey City
